No, DescripcionColonia,ClaveDelegacion,DescripcionDelegacion,CodigoPostal
1,ACUEDUCTO,CH,CENTRO HISTORICO,76020
2,ALAMEDA,CH,CENTRO HISTORICO,76040
3,ALAMOS 1A. SECCION,CH,CENTRO HISTORICO,76160
4,ALAMOS 2DA SECCION,CH,CENTRO HISTORICO,76160
5,ALAMOS 3A. SECCION,CH,CENTRO HISTORICO,76160
6,AMPLIACION CIMATARIO                              ,CH,CENTRO HISTORICO,
7,ANDALUCIA SECC. CORDOBA,CH,CENTRO HISTORICO,76040
8,ANDALUCIA SECC. GRANADA,CH,CENTRO HISTORICO,76040
9,ARAGON,CH,CENTRO HISTORICO,76040
10,ARBOLEDAS DEL RIO,CH,CENTRO HISTORICO,76027
11,ARQUITOS,CH,CENTRO HISTORICO,76048
12,ASALIAS,CH,CENTRO HISTORICO,76150
13,BALCON CAMPESTRE,CH,CENTRO HISTORICO,76159
14,BARRIO DE LA CRUZ,CH,CENTRO HISTORICO,
15,BARRIO EL TEPETATE                     ,CH,CENTRO HISTORICO,
16,BARRIO SANTA CATARINA                             ,CH,CENTRO HISTORICO,
17,BARRIO SANTA ROSA                                 ,CH,CENTRO HISTORICO,
18,BOSQUES,CH,CENTRO HISTORICO,
19,BOSQUES DEL ACUEDUCTO,CH,CENTRO HISTORICO,76020
20,CARRETAS,CH,CENTRO HISTORICO,76050
21,CASA BLANCA                                       ,CH,CENTRO HISTORICO,76030
22,CENTRO,CH,CENTRO HISTORICO,76000
23,CENTRO UNIVERSITARIO,CH,CENTRO HISTORICO,
24,CIMATARIO,CH,CENTRO HISTORICO,76030
25,CLAUSTROS DEL PARQUE,CH,CENTRO HISTORICO,76168
26,COND. MEGA PLAZA CORREGIDORA,CH,CENTRO HISTORICO,
27,COND. RESIDENCIAL VIVEROS,CH,CENTRO HISTORICO,
28,CONDOMINIO FELIPE ANGELES,CH,CENTRO HISTORICO,
29,CONDOMINIO LA CRUZ,CH,CENTRO HISTORICO,76020
30,CONDOMINIO LOS ANGELES,CH,CENTRO HISTORICO,76150
31,CONDOMINIO LOS CLAUSTROS                          ,CH,CENTRO HISTORICO,
32,CONDOMINIO RINCONADA DE LOS PIRULES,CH,CENTRO HISTORICO,
33,CONDOMINIOS SAN ROQUE,CH,CENTRO HISTORICO,76150
34,CONJ HABTNAL SAN ROQUE QRO,CH,CENTRO HISTORICO,
35,CONJUNTO GEMINIS,CH,CENTRO HISTORICO,76150
36,CONJUNTO HABITACIONAL UNIVERSIDAD,CH,CENTRO HISTORICO,
37,CONJUNTO MARGARITAS,CH,CENTRO HISTORICO,
38,CONJUNTO PARQUES,CH,CENTRO HISTORICO,76158
39,CONJUNTO QUERETARO,CH,CENTRO HISTORICO,
40,CONSTITUYENTES 1917                               ,CH,CENTRO HISTORICO,
41,CONSTITUYENTES DE 1824,CH,CENTRO HISTORICO,76156
42,CONSTITUYENTES FOVISSSTE,CH,CENTRO HISTORICO,76150
43,DEL PRADO,CH,CENTRO HISTORICO,76030
44,DEPARTAMENTAL PARQUES,CH,CENTRO HISTORICO,
45,DESARROLLO LA MONTANA 2000 SECCION III,CH,CENTRO HISTORICO,
46,DILIGENCIAS,CH,CENTRO HISTORICO,76020
47,EL CARRIZAL,CH,CENTRO HISTORICO,76030
48,EL CERRITO,CH,CENTRO HISTORICO,76160
49,EL LAUREL,CH,CENTRO HISTORICO,76046
50,EL MARQUES,CH,CENTRO HISTORICO,76047
51,EL PORVENIR,CH,CENTRO HISTORICO,76158
52,EL RETABLO,CH,CENTRO HISTORICO,76154
53,EL TEPETATE,CH,CENTRO HISTORICO,76160
54,ESPANA,CH,CENTRO HISTORICO,76158
55,ESTIO,CH,CENTRO HISTORICO,76150
56,ESTRELLA,CH,CENTRO HISTORICO,76030
57,EUCALIPTOS,CH,CENTRO HISTORICO,76156
58,FRACCIONAMIENTO EL PRADO,CH,CENTRO HISTORICO,
59,FRACCIONAMIENTO INDUSTRIAL LA MONTANA,CH,CENTRO HISTORICO,
60,FRACCIONAMIENTO ROMY,CH,CENTRO HISTORICO,
