No,ClaveEscuela,Nombre,Rector,HorarioAtencion,Telefono,CorreoElectronico,CorreoAlterno,ModalidadSemestral,ModalidadCautrimestral,Colonia,Calle,Delegacion,Municipio,Estado
1,22ear0001e,COLEGIO NACIONAL DE DANZA CONTEMPORANEA,LIC ORLANDO DE JESUS SCHEKER ROMAN,MATUTINO: 9:00-4:00 ,442 213 8795,nomeji2001@hotmail.com,,Inicio: 8 febrero           Termino: 9 julio,,VILLAS DEL SOL,SIERRA DE TILACO NO 201,CENTRO HISTORICO,QUERETARO,QUERETARO
2,22ENL0002N,ESCUELA NORMAL DEL ESTADO DE QRO. ANDRES BALVANERA (CENTENARIA Y BENEMERITA),LIC. IRENE QUINTANAR MEJIA,MATUTINO:  9:00-3:00  ,442 213 1131 ext. 113,serviciosacademicos@cbeneq.edu.mx cieen@cbeneq.edu.mx,,Inicio: 19 febrero            Termino: 30 julio ,,VISTA ALEGRE,CALLE SAN MATEO S/N,JOSEFA VERGARA Y HERNÁNDEZ,QUERETARO,QUERETARO
3,22DNS001l,ESCUELA NORMAL SUPERIOR DE QUERETARO,LIC. JESÚS HERNÁNDEZ BRISEÑO,MATUTINO: 8:30-4:00,442 214 4941 ext 107,karina.cobarruvias.2016@gmail.com karinna_co@hotmail.com,,Inicio: 2 marzo              Termino: 16 julio,,UNIDAD NACIONAL,AV. PIE DE LA CUESTA S/N,EPIGMENIO GONZALEZ FLORES,QUERETARO,QUERETARO
4,22DIT0001M,INSTITUTO TECNOLOGICO DE QUERETARO,MAXIMO PLIEGO DÍAZ,MATUTINO:  8:00-2:00,"442-427-4400 ext 4404 o ext 4706  (plantel norte) Tel. 01 (442) 243 55 54
01 (442) 243 55 92",dse_becas@queretaro.tecnm.mx y dse@queretaro.tecnm.mx                              dse@mail.itq.edu.mx,,Inicio: enero            Termino: julio,,CENTRO,AVENIDA TECNOLOGICO Y ESCOBEDO,CENTRO HISTORICO,QUERETARO,QUERETARO
5,220001,UNIVERSIDAD AUTONOMA DE QUERETARO,RECTOR GILBERTO HERRERA RUIZ,MATUTINO:  VESPERTINO: ,442- 192-1200,bienestaruaq@gmail.com,bienestaruaq@gmail.com,Inicio:             Termino: ,Inicio:             Termino: ,LAS CAMPANAS,HIDALGO S/N,CENTRO HISTORICO,QUERETARO,QUERETARO
6,22OSU0003W,UNIVERSIDAD NACIONAL AERONAUTICA DE QUERETARO,ING. JORGE GUTIERREZ DE VELASCO RODRIGUEZ,MATUTINO:  VESPERTINO: ,442 101 6600,jesus.servin@unaq.edu.mx,servicios.escolares@unaq.mx,Inicio:             Termino: ,Inicio:             Termino: ,GALERAS,CARRETERA ESTATAL 200  NO. 22154,,COLON,QUERETARO
7,22USU0043H,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,RAUL GERARDO PAREDES GUERRERO ,MATUTINO: 10:00-2:00  ,          INES 442-192-6323 y 6320 (10-2 PM), sescolares_enesj@unam.mx,,Inicio: febrero             Termino: mayo,,JURIQUILLA,PRIVADA JURIQUILLA,SANTA ROSA JAUREGUI,QUERETARO,QUERETARO
8,UPN-22A,UNIVERSIDAD PEDAGOGICA NACIONAL,LIC. J GUADALUPE RIVAS GUZMAN,MATUTINO:8:00-1:00 VESPERTINO:4:00-8:00 ,"442 220.5240 / 442 220.5180, ext. 117-119",escolares@upnqueretaro.edu.mx,,Inicio: 2 febrero             Termino: 4 junio,,DESARROLLO SAN PABLO,PLAYA RINCON S/N,EPIGMENIO GONZALEZ FLORES,QUERETARO,QUERETARO
9,22EPO0001J,UNIVERSIDAD POLITECNICA DE QUERETARO,DRA. MARHTA ELENA SOTO OBREGÓN,8:00 AM-4:00 PM,             TELEFONO AREA DE BECAS: 442 101 9000 ext. 354,alma.hernandez@upq.mx  mirna.barron@upq.mx,,,Inicio: 3 mayo            Termino: 19 agosto,EL ROSARIO,CARRETERA ESTATAL  420 S/N,,EL MARQUES,QUERETARO
10,22MSU0081B,UNIVERSIDAD POLITECNICA DE SANTA ROSA JAUREGUI,LIC. ENRIQUE GERARDO SOSA GUTIERREZ,9:00 AM-5:30 PM,442 196 1300 Ext. 111                ,mgonzalez@upsrj.edu.mx,,,Inicio: 3 mayo            Termino: 19 agosto,Parque Industrial Querétaro,CALLE CARRETERA FEDERAL 57 QRO-SLP,SANTA ROSA JAUREGUI,QUERETARO,QUERETARO
11,22EUT0003E,UNIVERSIDAD TECNOLOGICA DE CORREGIDORA,MTRO. ARTURO ADOLFO VALLEJO CASANOVA,MATUTINO: 8:00-4:00  ,"(442) 4830 070 Ext. 1013, 1012, 1011, 1026",juan.ramirez@utcorregidora.edu.mx,,,Inicio: 3 mayo            Termino:  13 agosto,PRESA DE BRAVO,CARRETERA STA. BARBARA - CORONEO KM.11.2,,CORREGIDORA,QUERETARO
12,UTQ940610DY0,UNIVERSIDAD TECNOLOGICA DE QUERETARO,MTRO. AGUSTIN CASILLAS GUTIERREZ,MATUTINO: 8:30-3:30  ,442 209 6100 ext. 1316,blanca.landeros@uteq.edu.mx,,,Inicio: 3 mayo           Termino: 31 agosto,UNIDAD NACIONAL,AV. PIE DE LA CUESTA #2501,EPIGMENIO GONZALEZ FLORES,QUERETARO,QUERETARO
