No,ClaveEscuela,Nombre,Director,HorarioAtencion,Telefono,CorreoElectronico,CorreoAlterno,ModalidadSemestral,ModalidadCuatrimestral,Colonia,Calle,Delegacion,Municipio,Estado
1,22UBH0006J,BACHILLERATO SEMIESCOLARIZADO CENTRO UAQ,ING. JAIME NIEVES MEDRANO,MATUTINO: 7:00-11:00 VESPERTINO: 4:00-8:00,"(442) 192-12-00, Extensión 5014. 5040. 5041",nathalie.ng.morales@uaq.mx,,,Inicio: 11 mayo           Termino: agosto,CENTRO,16 DE SEPTIEMBRE,CENTRO HISTORICO,QUERETARO,QUERETARO
2,22DCT0419N,CBTIS 118  (CENTRO DE BACHILLERATO TECNOLÓGICO NO. 118),Eduardo Ortega Hernández,MATUTINO: 7:00-2:00 VESPERTINO: 2:00-9:00,442.189.2530 ext. 129 / 442.189.2531,cbtis118.dir@uemstis.sems.gob.mx                          becas@cbtis118.edu.mx,,Inicio: agosto            Termino: enero,,TEJEDA,PASEO CONSTITUYENTES PTE S/N,EL PUEBLITO,CORREGIDORA,QUERETARO
3,22ETC0011Y,CECYTEQ 11 - TINAJA DE LA ESTANCIA (COLEGIO DE ESTUDIOS CIENTÍFICOS  Y TECNOLÓGICOS DEL EDO. DE QRO),ALFONSO VALERIO SALGADO,MATUTINO: 8:00-3:30,442-161-0172 y 442-643-0102.                                    442-425-2165 (Celular director),valerio9x9@hotmail.com,,Inicio: 15 febrero           Termino: 9 julio,,TINAJA DE LA ESTANCIA,CONOCIDO,FELIPE CARRILLO PUERTO,QUERETARO,QUERETARO
4,22ETC0005N,CECYTEQ 5 - CERRITO COLORADO (COLEGIO DE ESTUDIOS CIENTÍFICOS  Y TECNOLÓGICOS DEL EDO. DE QRO),RAUL FANNY HERNANDEZ SALINAS,MATUTINO: 7:00-2:00  VESPERTINO: 2:00-8:00,442-260-0443   4422439317,Arturo murillo Martinez (becas) drquestamm@hotmail.com (becas) raul2006-5@hotmail.com (director),,Inicio: febrero            Termino: junio,,CERRITO COLORADO,KILIWAS ESQUINA CHALCAS,FELIX OSORES SOTOMAYOR,QUERETARO,QUERETARO
5,22ETC0006M,CECYTEQ 6 - CORREGIDORA (COLEGIO DE ESTUDIOS CIENTÍFICOS  Y TECNOLÓGICOS DEL EDO. DE QRO),MA. LUIS RAMIREZ GONZALEZ,MATUTINO: 7:00-1:30  VESPERTINO: 1:30-8:40,442-299-3106,lore_baftidas8@hotmail.com,,Inicio:15 de febrero  Termino: 6 de junio,,VALLE REAL RESIDENCIAL,AV CANDILES NO. 317,VENCEREMOS,CORREGIDORA,QUERETARO
6,22ETC0088K,CECYTEQ 8 - MENCHACA (COLEGIO DE ESTUDIOS CIENTÍFICOS  Y TECNOLÓGICOS DEL EDO. DE QRO),SERGIO RODRIGUEZ ZUÑIGA,MATUTINO: 8:00-3:30 VESPERTINO: 10:30-6:00,442-628-2253 y 442-628-2254,checorozu@hotmail.com ,,Inicio: 15 febrero             Termino: 9 julio,,MENCHACA,CARR A CHICHIMEQUILLAS,EPIGMENIO GONZALEZ FLORES,QUERETARO,QUERETARO
7,22ETC0009J,CECYTEQ 9 - MONTENEGRO (COLEGIO DE ESTUDIOS CIENTÍFICOS  Y TECNOLÓGICOS DEL EDO. DE QRO),MAYOR ANDRES QUIROGA DIAZ,MATUTINO: 8:00-2:30 VESPERTINO: 11:00-7:00,442-628-2916 y 442-628-2917,lupistel5@yahoo.com.mx,,Inicio:             Termino: ,,MONTENEGRO,HACIENDA DEL TESORO S/N,SANTA ROSA JAUREGUI,QUERETARO,QUERETARO
8,22DAR0004C,CEDART IGNACIO MARIANO DE LAS CASAS ,ALVIS RENE GONZALEZ BLANCAS,MATUTINO: 9:00-3:00,442 153 1970 al 79,agblancas@inda.gob.mx,,Inicio:  21 Septiembre          Termino: 16 Julio,,CENTRO SUR,CIRCUITO PLAN VIDA NO. 116,JOSEFA VERGARA Y HERNÁNDEZ,QUERETARO,QUERETARO
9,22DCT0105N,CETIS 105 (CENTRO DE ESTUDIOS TECNOLÓGICOS INDUSTRIAL Y DE SERVICIOS NO. 105),ING.GUILLERMO CONCHA RODRIGUEZ,MATUTINO:  VESPERTINO: ,"442 242 1845 ext. 104,109",cetis105.escolares@dgeti.sems.gob.mx,cetis105.dir@dgeti.sems.gob.mx  cetis105.escolares@uemstis.sems.gob.mx,Inicio:             Termino: ,Inicio:             Termino: ,SANTA MARIA MAGDALENA,KM. 35 CARRETERA A TLACOTE EL BAJO,FELIPE CARRILLO PUERTO,QUERETARO,QUERETARO
10,22DCT0016U,CETIS 16 (CENTRO DE ESTUDIOS TECNOLÓGICOS INDUSTRIAL Y DE SERVICIOS NO. 16)  ,MTRA MIRELLA CARLOS JAIME,MATUTINO:  VESPERTINO: ,"442 214 0305 ext.107, 108",mirellacarlos@live-edu.cems.go,mirellacarlos@live-edu.cems.go   malu_villegas@msn.com,Inicio:             Termino: ,Inicio:             Termino: ,SAN PEDRITO ECOLÓGICO,AV. PIE DE LA CUESTA NO. 1048,EPIGMENIO GONZALEZ FLORES,QUERETARO,QUERETARO
11,22ECB0001B,COBAQ 1 (COLEGIO DE BACHILLERES PLANTEL NO. 1),LIC.AURELIO RAMIREZ VALENCIA,MATUTINO:  VESPERTINO: ,442-291-9400 ext. 1401     4422173842 / 4422202641,aureliorv@cobaq.edu.mx,marociogr@e.cobaq.edu.mx  franciscodv@e.cobaq.edu.mx,Inicio:             Termino: ,Inicio:             Termino: ,SATELITE,ACCESO A S/N,FELIX OSORES SOTOMAYOR,QUERETARO,QUERETARO
12,22ECB0013G,COBAQ 13 (COLEGIO DE BACHILLERES PLANTEL NO. 13),MTRO. JUAN PABLO GOMEZ ESTRADA,MATUTINO: 7:-2:00 VESPERTINO: 2:00-8:00,442 243 1895 y 442-291-9400,juanpge@e.cobaq.edu.mx,,Inicio: febrero            Termino: junio ,,SAN PEDRITO PEÑUELAS I,AV. PIE DE LA CUESTA S/N,EPIGMENIO GONZALEZ FLORES,QUERETARO,QUERETARO
13,22ECB0017C,COBAQ 15 (COLEGIO DE BACHILLERES PLANTEL NO. 15),LIC. FERMIN FERNANDO OROZCO RAMIREZ,MATUTINO: 7:00-1:00  VESPERTINO: 1:00-7:00,442-246-61-95,fermin.or@e.cobaq.edu.mx,,Inicio: febrero            Termino: junio ,,CHICHIMEQUILLAS,ACCESO LIENZO CHARRO,,EL MARQUES,QUERETARO
14,22ECB0020Q,COBAQ 16 (COLEGIO DE BACHILLERES PLANTEL NO. 16),LIC. CECILIA MORALES TOVAR,MATUTINO: 7:00-2:30 VESPERTINO: 12:00-7:00,(442) 253-10-32 y 253-12-17,ceciliamt@e.cobaq.edu.mx,,Inicio: febrero            Termino: junio,,GENERAL LÁZARO CÁRDENAS (EL COLORADO),CALLE CARRETERA MEXICO - QUERETARO KILOMETRO 194.5,,EL MARQUES,QUERETARO
15,22ECB0022O,COBAQ 17 (COLEGIO DE BACHILLERES PLANTEL NO. 17),RODOLDO QUITERIO MENDOZA,MATUTINO: 7:00-1:00  VESPERTINO: 2:00-8:00,(442) 261-13-90 y 243-06-57 ext. 106,rodolfoqm@e.cobaq.edu.mx citlalioa@e.cobaq.edu.mx,,Inicio: 2 febrero            Termino: 25 junio,,EL VERGEL,AV. SOMBRERETES/N ESQ.CALZ .DE BELEN,EPIGMENIO GONZALEZ FLORES,QUERETARO,QUERETARO
16,22MMS0033J,COBAQ 19 (COLEGIO DE BACHILLERES PLANTEL NO. 19 BRAVO),HERNÁNDEZ GARCÍA MARÍA ELVIA ELIZA,,442 310 0101,,,,,BRAVO,CAMINO A LA CEJA,,CORREGIDORA,QUERETARO
17,22ECB0027J,COBAQ 22 (COLEGIO DE BACHILLERES PLANTEL NO. 22),LIC. NOE GAUCIN RIOS,MATUTINO: 7:00-2:00 VESPERTINO: 2:00-8:00,(442) 298-61-64 y 298-61-65,yeseniayp@e.cobaq.edu.mx (becas) noegr@e.cobaq.edu.mx,,Inicio: 2 febrero            Termino: 25 junio,,FRACC. SAN MIGUEL 2A. ETAPA,"CALLE SAN RAFAEL, LOTE 113, MANZANA 8",FELIX OSORES SOTOMAYOR,QUERETARO,QUERETARO
18,22ECB0003Z,COBAQ 3 (COLEGIO DE BACHILLERES PLANTEL NO. 3),LORENA DEL CONSUELO NAVARRO TORRES,MATUTINO: 7:00-1:00 VESPERTINO: 2:00-8:00,(442) 228-02-81 Y 442-228-12-24,lorena.nt@e.cobaq.edu.mx,,Inicio: 2 febrero          Termino: 25 junio,,COLINAS DEL REMANSO,JOSEFA ORTIZ DE DOMINGUEZ NO. 209,EL PUEBLITO,CORREGIDORA,QUERETARO
19,22ECB0007W,COBAQ 7 (COLEGIO DE BACHILLERES PLANTEL NO. 7),ING. HUGO MIGUEL CASTAÑEDA DIAZ,MATUTINO: 8:00-3:30 VESPERTINO: 1:00-8:00,(442) 223-24-04,hugo.cd@e.cobaq.edu.mx,,Inicio: 3 agosto            Termino: 18 dic.,,EL JARDIN,COLEGIO MILITAR # 13,LA CAÑADA,EL MARQUES,QUERETARO
20,22ECB0008V,COBAQ 8 (COLEGIO DE BACHILLERES PLANTEL NO. 8),AGUSTIN ORTEGA TOVAR,MATUTINO: 8:00 VESPERTINO: 8:00 pm,(442) 222-61-20 y 222-86-43,agustinot@e.cobaq.edu.mx,,Inicio: marzo             Termino: 27 junio,,AZTECA,AXAYACALT S/N,JOSEFA VERGARA Y HERNÁNDEZ,QUERETARO,QUERETARO
21,22ECB0009U,COBAQ 9 (COLEGIO DE BACHILLERES PLANTEL NO. 9),MTRA OLGA ELENA MARTINEZ ESQUIVEL,MATUTINO: 7:00-2:00  VESPERTINO: 2:00-8:00,(442) 291-05-22 Y 442 291 14 54 ,olgaeme@e.cobaq.edu.mx,,Inicio: 2 febrero            Termino: 25 junio,,PIE DE GALLO,AVENIDA 20 DE NOVIEMBRE PONIENTE,SANTA ROSA JAUREGUI,QUERETARO,QUERETARO
22,22DTP002V,CONALEP - QRO (COLEGIO DE EDUCACIÓN PROFESIONAL TÉCNICA DEL ESTADO DE QRO.),LIC. JOSE OMAR ACOSTA AGUILAR,MATUTINO: 7:00- 2:00   VESPERTINO: 2:00- 9:00,"442 242 3049 , 442-218-1496 , 442-218-1601,  442-218-1549",silvia.ortiz@qro.conalep.edu.mx,,Inicio: 1 marzo            Termino: 16 julio,,LA INDUSTRIAL,ACC. 4 FRACC. IND. BENITO JUAREZ,FELIX OSORES SOTOMAYOR,QUERETARO,QUERETARO
23,11DPT0012W,CONALEP - SAN JOSE ITURBIDE (COLEGIO DE EDUCACIÓN PROFESIONAL TÉCNICA DEL ESTADO DE GTO.),LIC. ELIA GAYTAN ALCARAZ,MATUTINO: 10:00-12:00 VESPERTINO: 4:00-5:00,4191980883 ó 4191980895 ext. 123,antonio.esquedav@conalepgto.edu.mx,,Inicio: 1 marzo             Termino: 16 julio,,COL. CENTRO,AVENIDA CONALEP NO. 104,,SAN JOSE ITURBIDE,GUANAJUATO
24,22DPT0004T,CONALEP- AEREONAUTICO (COLEGIO DE EDUCACIÓN PROFESIONAL TÉCNICA DEL ESTADO DE QRO.),ALEJANDRO ALBERTO ARREDONDO VELAZQUEZ,MATUTINO: 8:00-3:00 ,"442-628-3746
442-628-3747",jenifher.aguilar@qro.conalep.edu.mx,,Inicio: 1 marzo            Termino: 16 julio,,LA GRIEGA,CARRETERA ESTATAL 200 QUERETARO-TEQUISQUIAPAN KM 17,,EL MARQUES,QUERETARO
25,,TALENTOS DEPORTIVOS,,MATUTINO:   VESPERTINO: ,442 246 6086,22des0041b@usebeq.edu.mx,sectalentos_deportivos@hotmail.com,Inicio:             Termino: ,Inicio:             Termino: ,VILLAS DEL PARQUE,AV. RIO TAMESIS S/N,EPIGMENIO GONZALEZ FLORES,QUERETARO,QUERETARO
26,22ETK0010H,TELEBACHILLERATO COMUNITARIO (SOLANA),EVELIN ARMENTA RAMIREZ,VESPERTINO: 2:30-7:40,442-566-9926,tbcqrolasolana@gmail.com (becas) tbcqrocontrolescolar@hotmail.com ,,Inicio: 14 febrero        Termino: 18 julio,,LA SOLANA (TROJES),SOLANA,SANTA ROSA JAUREGUI,QUERETARO,QUERETARO
27,22ETK005W,TELEBACHILLERATO COMUNITARIO (VERSOLILLA),GRECIA ESTEFANIA ZARATE MONTES,VESPERTINO: 2:30-8:00,442-485-7961, grecia_zarate@icateq.edu.mx,,Inicio: 15 febrero           Termino: 12 julio,,LA VERSOLILLA,CAMINO A VERSOLILLA,SANTA ROSA JAUREGUI,QUERETARO,QUERETARO
28,22UBH0071,UAQ PLANTEL BICENTENARIO (ESCUELA DE BACHILLERES),MTRO. OSCAR URIEL CARDENAS ROSAS,MATUTINO:7:00-2:00,442 192 1200 EXT. 64201,oscar.cardenas@uqa.mx                             Luis alfonso mejia gallardo luis.alfonso.mejia@uaq.mx (coordinador de becas),escolar@uaq.mx,Inicio:  11 enero           Termino: 28 mayo,,PROL. INDEPENDENCIA,EXPLANADA PARQUE BICENTENARIO,SANTA ROSA JAUREGUI,QUERETARO,QUERETARO
29,22UBH001O,UAQ PLANTEL NORTE (ESCUELA DE BACHILLERES),ING. JAIME NIEVES MEDRANO COORDINADOR PLANTEL NORTE MTRA. M. H  FATIMA SANTAMARIA HERNANDEZ,MATUTINO: 7:00-9:00 PM  ,"442-192-12-00, Ext. 5063. 5016",plantel_norte@outlook.com  atipul88@yahoo.com.mx (becas),,Inicio: 11 enero           Termino: 28 mayo,,UAQ PLANTEL NORTE (ESCUELA DE BACHILLERES),AV. CERRO DEL SOBRERETE S/N,EPIGMENIO GONZALEZ FLORES,QUERETARO,QUERETARO
30,22UBH0002N,UAQ PLANTEL SUR (ESCUELA DE BACHILLERES),COORDINADORA LUCERO CANTO GUERRERO,MATUTINO:7.00-2:00  VESPERTINO: 2:00-8:10,442 192 1200 EXT. 5020-5021,lucero.canto@uaq.mx,escolar@uaq.mx,Inicio: 11 enero              Termino: 28 mayo,,PRADOS DEL MIRADOR,CIRCUITO MOISE SOLANA NO. 183,JOSEFA VERGARA Y HERNÁNDEZ,QUERETARO,QUERETARO
