No,ClaveEscuela,Nombre,HorarioAtencion,Telefono,CorreoElectronico,correoAlterno,CicloEscolar,Colonia,Calle,Delegacion,Municipio,Estado
1,22KTV0042Q,CONAFE LA ESTANCIA DE PALO DULCE,MATUTINO,,,,,ESTANCIA DE PALO DULCE,CONOCIDO,SANTA ROSA JAUREGUI,QUERETARO,QUERETARO
2,22KTV0008J,SEC. COMUNITARIA EL HERRERO ,MATUTINO:  VESPERTINO: ,442 -238 -6000,,x,agosto-julio,HERRERO,"CONOCIDO, HERRERO",SANTA ROSA JAUREGUI,QUERETARO,QUERETARO
3,22EES0001Z,SEC. GRAL. ANEXA A LA NORMAL DEL ESTADO,MATUTINO:  8:00-2:00,442 249 86 97,esaeneq@hotmail.com,,agosto-julio,PRESIDENTES,AVENIDA 24 S/N,JOSEFA VERGARA Y HERNÁNDEZ,QUERETARO,QUERETARO
4,22DES0038O,SEC. GRAL. ARQUELES VELA,MATUTINO: 7:00-1:10 VESPERTINO 1:20-7:40,442-243-22-42,arqueles_vela@hotmail.com  22DEF0038O@USEBEQ.EDU.MX,,agosto-julio,LOMAS DE SAN PEDRITO,LAGRIMAS NO. 701,EPIGMENIO GONZALEZ FLORES,QUERETARO,QUERETARO
5,22DAR0004C,SEC. GRAL. CEDART IGNACIO MARIANO DE LAS CASAS ,MATUTINO: 7:00-2:00 ,442 1531970,"agblancas@inba.gob.mx cimc.bachillerato@inba.gob.mx 
 cimc.secundaria@inba.gob.mx ",cbramos@inba.gob.mx- cecilia berenia ramos gpnzalez,agosto-julio,CENTRO SUR,CIRCUITO PLAN VIDA NO. 116,JOSEFA VERGARA Y HERNÁNDEZ,QUERETARO,QUERETARO
6,22DES0047W,SEC. GRAL. EPIGMENIO GONZALEZ,MATUTINO: 7:00-1:10 VESPERTINO 1:30-7:40,442-243-1733,22des0047w@usebeq.edu.mx,,agosto-julio,VILLAS DE SANTIAGO,TLATELOLCO S/N ESQ. TURMALINA,EPIGMENIO GONZALEZ FLORES,QUERETARO,QUERETARO
7,22DES0053G,SEC. GRAL. ESPERANZA CABRERA,,442 257 2407,sec.gral.esperanza.cabrera@gmail.com,,,LA LOMA,MONTE PARMASO # 507,FELIX OSORES SOTOMAYOR,QUERETARO,QUERETARO
8,22DES0030W,SEC. GRAL. FELIPE CARRILLO PUERTO,MATUTINO:  VESPERTINO: ,DIRECTOR 4422086316 ESCUELA 4421950022,22des0030w@usebeq.edu.mx,,agosto-julio,EL TINTERO,SOR JUANA INES DE LA CRUZ #215 ESQ. PLUTARCO ELIAS CALLES,FELIPE CARRILLO PUERTO,QUERETARO,QUERETARO
9,22DES0024L,SEC. GRAL. JESUS ROMERO FLORES,MATUTINO: ,442 788 38 78,,,agosto-julio,SECCIÓN SUROESTE DE COLONIA SANTA BÁRBARA,CALLE SEGUNDO JÓN DE LA SACA,,CORREGIDORA,QUERETARO
10,22DES0013F,SEC. GRAL. JOSE  VASCONCELOS,MATUTINO:  VESPERTINO: ,442 246 6027 y 442-470-35-64,,,agosto-julio,CHICHIMEQUILLAS,UNIDAD DEPORTIVA S/N,,EL MARQUES,QUERETARO
11,22DES0032U,SEC. GRAL. JOSE CLEMENTE OROZCO,MATUTINO:  VESPERTINO: ,442-299-3419,adela@hotmail.com,22des0032u@usebeq.edu.mx,agosto-julio,MARAVILLAS,FRESNO 100,LOS OLVERA,CORREGIDORA,QUERETARO
12,22DES0022N,SEC. GRAL. JOSE MA. MORELOS Y PAVON,MATUTINO: 7:00-2:00 , 4424691131 Director  4426384133 T. S. Liliana Montes.,22DES0022N@USEBEQ.EDU.MX       secbuenavistaqro@hotmail.com,,agosto-julio,BUENAVISTA,DOM. CONOCIDO,SANTA ROSA JAUREGUI,QUERETARO,QUERETARO
13,22DES0021O,SEC. GRAL. JOSEFINA NOVA DE GONZALEZ,MATUTINO:  8:00-1:00 VESPERTINO: 1:30-7:30,442 191 88 60,secgeneraljosefinanova@hotmail.com ,,agosto-julio,HERCULES,LAS CANOAS S/N,CAYETANO RUBIO,QUERETARO,QUERETARO
